,Author,collaborators
513,M G Baker,"['C N Thornley', 'P Weinstein', 'E W Maas']"
514,P Weinstein,"['C N Thornley', 'M G Baker', 'E W Maas']"
515,E W Maas,"['C N Thornley', 'M G Baker', 'P Weinstein']"
516,Decio Diament,"['Milena Karina Colo Brunialti', 'Eliete Calo Romero', 'Esper Georges Kallas', 'Reinaldo Salomao']"
517,Milena Karina Colo Brunialti,"['Decio Diament', 'Eliete Calo Romero', 'Esper Georges Kallas', 'Reinaldo Salomao']"
518,Eliete Calo Romero,"['Decio Diament', 'Milena Karina Colo Brunialti', 'Esper Georges Kallas', 'Reinaldo Salomao', 'Paulo Sérgio Lucas da Silva', 'Rubens Wolfe Lipinski', 'Roberta Penha Paiva Magalhães']"
519,Esper Georges Kallas,"['Decio Diament', 'Milena Karina Colo Brunialti', 'Eliete Calo Romero', 'Reinaldo Salomao']"
520,Reinaldo Salomao,"['Decio Diament', 'Milena Karina Colo Brunialti', 'Eliete Calo Romero', 'Esper Georges Kallas']"
521,J Bishara,"['E Amitay', 'A Barnea', 'S Yitzhaki', 'S Pitlik']"
522,E Amitay,"['J Bishara', 'A Barnea', 'S Yitzhaki', 'S Pitlik']"
523,A Barnea,"['J Bishara', 'E Amitay', 'S Yitzhaki', 'S Pitlik', 'A Keysary', 'E Zahavy', 'E Hadad', 'A Pirogovsky', 'C Bartal', 'J Gilad', 'I Grotto', 'R D Balicer', 'E Schwartz']"
524,S Yitzhaki,"['J Bishara', 'E Amitay', 'A Barnea', 'S Pitlik', 'A Keysary', 'E Zahavy', 'E Hadad', 'A Pirogovsky', 'C Bartal', 'J Gilad', 'I Grotto', 'R D Balicer', 'E Schwartz']"
525,S Pitlik,"['J Bishara', 'E Amitay', 'A Barnea', 'S Yitzhaki']"
526,A M Bal,"['A L Kakrani', 'R S Bharadwaj', 'A S Kagal', 'S A Joshi', 'V P Arjunwadkar']"
527,A L Kakrani,"['A M Bal', 'R S Bharadwaj', 'A S Kagal', 'S A Joshi', 'V P Arjunwadkar']"
528,R S Bharadwaj,"['A M Bal', 'A L Kakrani', 'A S Kagal', 'S A Joshi', 'V P Arjunwadkar']"
529,A S Kagal,"['A M Bal', 'A L Kakrani', 'R S Bharadwaj', 'S A Joshi', 'V P Arjunwadkar']"
530,S A Joshi,"['A M Bal', 'A L Kakrani', 'R S Bharadwaj', 'A S Kagal', 'V P Arjunwadkar']"
531,V P Arjunwadkar,"['A M Bal', 'A L Kakrani', 'R S Bharadwaj', 'A S Kagal', 'S A Joshi']"
532,Paul V Effler,"['April K Bogard', 'Harry Y Domen', 'Alan R Katz', 'Henry Y Higa', 'David M Sasaki', 'Vernon E Ansdell', 'Charles R Middleton', 'Kate Gaynor', 'Sarah Y Park', 'Michele Nakata', 'Thomas A Clark', 'Tania Ellis', 'Allison Imrie', 'Arlene E Buchholz', 'Kialani Hinson']"
533,April K Bogard,"['Paul V Effler', 'Harry Y Domen', 'Alan R Katz', 'Henry Y Higa', 'David M Sasaki']"
534,Harry Y Domen,"['Paul V Effler', 'April K Bogard', 'Alan R Katz', 'Henry Y Higa', 'David M Sasaki']"
535,Alan R Katz,"['Paul V Effler', 'April K Bogard', 'Harry Y Domen', 'Henry Y Higa', 'David M Sasaki', 'Vernon E Ansdell', 'Charles R Middleton', 'Kate Gaynor', 'Sarah Y Park', 'Michele Nakata', 'Thomas A Clark', 'Tania Ellis', 'Allison Imrie', 'Arlene E Buchholz', 'Kialani Hinson']"
536,Henry Y Higa,"['Paul V Effler', 'April K Bogard', 'Harry Y Domen', 'Alan R Katz', 'David M Sasaki']"
537,David M Sasaki,"['Paul V Effler', 'April K Bogard', 'Harry Y Domen', 'Alan R Katz', 'Henry Y Higa', 'Vernon E Ansdell', 'Charles R Middleton']"
538,V I Pokrovskiĭ,"['V V Maleev', 'V I Efremenko', 'A B Zborovskiĭ', ""I P Gontar'"", 'I S Tiumentseva', ""E N Afanas'ev""]"
539,V V Maleev,"['V I Pokrovskiĭ', 'V I Efremenko', 'A B Zborovskiĭ', ""I P Gontar'"", 'I S Tiumentseva', ""E N Afanas'ev""]"
540,V I Efremenko,"['V I Pokrovskiĭ', 'V V Maleev', 'A B Zborovskiĭ', ""I P Gontar'"", 'I S Tiumentseva', ""E N Afanas'ev""]"
541,A B Zborovskiĭ,"['V I Pokrovskiĭ', 'V V Maleev', 'V I Efremenko', ""I P Gontar'"", 'I S Tiumentseva', ""E N Afanas'ev""]"
542,I P Gontar',"['V I Pokrovskiĭ', 'V V Maleev', 'V I Efremenko', 'A B Zborovskiĭ', 'I S Tiumentseva', ""E N Afanas'ev""]"
543,I S Tiumentseva,"['V I Pokrovskiĭ', 'V V Maleev', 'V I Efremenko', 'A B Zborovskiĭ', ""I P Gontar'"", ""E N Afanas'ev""]"
544,E N Afanas'ev,"['V I Pokrovskiĭ', 'V V Maleev', 'V I Efremenko', 'A B Zborovskiĭ', ""I P Gontar'"", 'I S Tiumentseva']"
545,Jochen Abb,[]
546,David A Haake,"['Manjula Dundoo', 'Rumi Cader', 'Bernard M Kubak', 'Rudy A Hartskeerl', 'James J Sejvar', 'David A Ashford', 'Paul A Cullen', 'Stuart J Cordwell', 'Dieter M Bulach', 'Ben Adler', 'Chad J Wild', 'Justin J Greenlee', 'Carole A Bolin', 'Jeanne K Barnett', 'Norman E Cheville', 'Richard L Zuerner', 'James Matsunaga', 'Michele A Barocchi', 'Julio Croda', 'Tracy A Young', 'Yolanda Sanchez', 'Isadora Siqueira', 'Mitermayer G Reis', 'Lee W Riley', 'Albert I Ko', 'Masashi Narita', 'Shigeki Fujitani', 'David L Paterson', 'Henry A Choy', 'Melissa M Kelley', 'Tammy L Chen', 'Annette K Møller', 'João G R Ramos', 'Adriano Queiroz', 'Akira Homma', 'Everton F Silva', 'Marco A Medeiros', 'Alan J A McBride', 'Jim Matsunaga', 'Gabriela S Esteves', 'Cleiton S Santos', 'Júlio Croda', 'Odir A Dellagostin', 'Galayanee Doungchawee', 'Uraiwan Kositanont', 'Anuchai Niwetpathomwat', 'Tasanee Inwisai', 'Plyyonk Sagarasaeranee', 'J Muse Davis', 'Lalita Ramakrishnan', 'Marija Pinne', 'Jane T Babbitt', 'Mathieu Picardeau', 'Cláudio Pereira Figueira', 'Mariana L Coutinho', 'Michael S Lewis', 'Jose Antonio G Aleixo', 'Gianmarco Raddi', 'Dustin R Morado', 'Jie Yan', 'X Frank Yang', 'Jun Liu', 'Kristel Lourdault', 'Long-Chieh Wang', 'Ana Vieira', 'Rita Melo', 'Maria Gomes-Solecki', 'Karen V Evangelista', 'Beth Hahn', 'Elsio A Wunder', 'Jenifer Coburn', 'Paul N Levett', 'Suneel A Narayanavari', 'Manjula Sritharan', 'Derrick E Fouts', 'Michael A Matthias', 'Haritha Adhikarla', 'Luciane Amorim-Santos', 'Douglas E Berg', 'Dieter Bulach', 'Alejandro Buschiazzo', 'Yung-Fu Chang', 'Renee L Galloway', 'Daniel H Haft', 'Rudy Hartskeerl', 'Ariel E Mechaly', 'Jonathan M Monk', 'Ana L T Nascimento', 'Karen E Nelson', 'Bernhard Palsson', 'Sharon J Peacock', 'Jessica N Ricaldi', 'Janjira Thaipandungpanit', 'Jun-Jie Zhang', 'Joseph M Vinetz', 'Gwenn Ratet', 'Ignacio Santecchia', ""Martine Fanton d'Andon"", 'Frédérique Vernel-Pauillac', 'Richard Wheeler', 'Pascal Lenormand', 'Frédéric Fischer', 'Pierre Lechat', 'Ivo G Boneca', 'Catherine Werts', 'Jane E Sykes', 'Krystle L Reagan', 'Jarlath E Nally', 'Chandika D Gamage', 'W Zach Mills']"
547,Manjula Dundoo,"['David A Haake', 'Rumi Cader', 'Bernard M Kubak', 'Rudy A Hartskeerl', 'James J Sejvar', 'David A Ashford']"
548,Rumi Cader,"['David A Haake', 'Manjula Dundoo', 'Bernard M Kubak', 'Rudy A Hartskeerl', 'James J Sejvar', 'David A Ashford']"
549,Bernard M Kubak,"['David A Haake', 'Manjula Dundoo', 'Rumi Cader', 'Rudy A Hartskeerl', 'James J Sejvar', 'David A Ashford']"
550,Rudy A Hartskeerl,"['David A Haake', 'Manjula Dundoo', 'Rumi Cader', 'Bernard M Kubak', 'James J Sejvar', 'David A Ashford', 'Niyaz Ahmed', 'S Manjulata Devi', 'M de los A Valverde', 'P Vijayachari', ""Robert S Machang'u"", 'William A Ellis', 'Alan J A McBride', 'Balbino L Santos', 'Adriano Queiroz', 'Andréia C Santos', 'Mitermayer G Reis', 'Albert I Ko', 'Khoa T D Thai', 'Tran Thi Thanh Nga', 'Hoang Lan Phuong', 'Phan Trong Giao', 'Le Quoc Hung', 'Tran Quang Binh', 'Nguyen Van Nam', 'Peter J de Vries', 'Ma de los A Valverde', 'J M Ramírez', 'L G Montes de Oca', 'Marga G A Goris', 'Berta Victoria', 'Ahmed Ahmed', 'Richard L Zuerner', 'Dieter M Bulach', 'Javier Quinteiro', 'Marcos Tucunduva de Faria', 'Michael S Calderwood', 'Daniel A Athanazio', 'Martha Maria Pereira', 'Jiri F P Wagenaar', 'M Hussein Gasem', 'Bambang Isbandrio', 'Federica Moalli', 'Alberto Mantovani', 'Kimberly R Boer', 'Cecilia Garlanda', 'Eric C M van Gorp', 'Mariska Leeflang', 'Tom van der Poll', ""Cornelis van 't Veer"", 'Mateus S Adi', 'Bambang B Isbandrio', 'Jean Marc Rolain', 'Didier Raoult', 'Mirjam F M Engelberts', 'Gustavo M Cerqueira', 'Luciano S Pinto', 'Everton F Silva', 'Odir A Dellagostin', 'Bernadette Abela-Ridder', 'Reina Sikkema', 'Gerald L Murray', 'Amporn Srikram', 'Rebekah Henry', 'Rasana W Sermswan', 'Ben Adler', 'Fabiana Miraglia', 'Zenaide M de Morais', 'Fabiana K Seixas', 'Julio C Freitas', 'Francielle G S Zacarias', 'Adina C Delbem', 'Thaís S P Ferreira', 'Gisele O Souza', 'Silvio A Vasconcellos', 'Andrea M Moreno', 'Federico Costa', 'Martha Silvia Martinez-Silveira', 'José E Hagan', 'Mitermayer Galvão Dos Reis', 'Albert Icksang Ko', 'Tamara A T E Duarte', 'Suzanne J Kliffen', 'Mariska M G Leeflang', 'Martin Loden', 'Paul R Klatser', 'Jo E B Halliday', 'Darryn L Knobel', 'Kathryn J Allan', 'B Mark de C Bronsvoort', 'Ian Handel', 'Bernard Agwanda', 'Sally J Cutler', 'Beatrice Olack', 'M Kariuki Njenga', 'Sarah Cleaveland', 'Robert F Breiman', 'Vanessa Kikken', 'Masja Straetemans', 'Sandra Alba', 'Marco Goeijenbier', 'Mathieu Picardeau', 'Eric Bertherat', 'Michel Jancloes', 'Andreas N Skouloudis', 'Kara Durski', 'Hans van der Linden', 'Sophia G de Vries', 'Benjamin J Visser', 'Ingeborg M Nagel', 'Martin P Grobusch', 'Lee D Smythe', 'Joost C M Meijers', 'Simone S Schuller', 'Albert D M E Osterhaus', 'Byron E E Martina', 'Jarlath E Nally', 'Helmia Farida', 'Juliţte A Severin', 'Agus Suryanto', 'Henri A Verbrugh', 'Peterhans J van den Broek', 'Georgies F Mgode', 'Ginethon G Mhamphi', 'Abdul Katakweba', 'Loth S Mulungu', 'Lies Durnez', 'Herwig Leirs', 'Steven R Belmain', 'Douadi Benacer', 'Kwai Lin Thong', 'Ng Choung Min', 'Khebir Bin Verasahib', 'Renee L Galloway', 'Marc Souris', 'Siti Nursheena Mohd Zain', 'John W Lewis', 'Roan Pijnacker', 'Margreet J M Te Wierik', 'Els M Broens', 'Joke W B van der Giessen', 'Mauro de Rosa', 'Jaap A Wagenaar', 'Daan W Notermans', 'Kitty Maassen', 'Barbara Schimmer', 'Ente J J Rood', 'Mirjam I Bakker', 'Mark Moseley', 'Ryan W Carter', 'Julius Keyyu', 'Tito Kibona', 'Venance P Maro', 'Michael J Maze', 'Blandina T Mmbaga', 'Rigobert Tarimo', 'John A Crump', 'Bada Yang', 'René Spijker', 'Marga Ga Goris', 'Mariska Mg Leeflang', 'Ana S Ferreira', 'Teresa Rocha', 'Maria L Vieira', 'Maria das Neves Paiva-Cardoso', 'João R Mesquita', 'Marga Goris', 'Gertrude Thompson', 'João Inácio', 'Antonio Muñoz-Mérida', 'Ahmed A Ahmed', 'João Rodrigo Mesquita', 'Ana Sofia Ferreira', 'Nada Abdelghani Abdelrahim', 'Imad Mohammed Fadl-Elmula']"
551,James J Sejvar,"['David A Haake', 'Manjula Dundoo', 'Rumi Cader', 'Bernard M Kubak', 'Rudy A Hartskeerl', 'David A Ashford']"
552,David A Ashford,"['David A Haake', 'Manjula Dundoo', 'Rumi Cader', 'Bernard M Kubak', 'Rudy A Hartskeerl', 'James J Sejvar', 'Juliette Morgan', 'Shari L Bornstein', 'Adam M Karpati', 'Michael Bruce', 'Carole A Bolin', 'Constance C Austin', 'Christopher W Woods', 'Jairam Lingappa', 'Carl Langkop', 'Belinda Davis', 'Donald R Graham', 'Mary Proctor', 'Mary Bajani', 'Sandra L Bragg', 'Kathleen Shutt', 'Bradley A Perkins', 'Jordan W Tappero', 'Phran Phraisuwan', 'Ellen A Spotts Whitney', 'Piyanit Tharmaphornpilas', 'Suriya Guharat', 'Samart Thongkamsamut', 'Suphaporn Aresagig', 'Jayteeya Liangphongphanthu', 'Kanlayanee Junthima', 'Apirat Sokampang', 'Mary D Bajani', 'Tin Aye', 'Richard A Spiegel', 'Brian D Plikaytis', 'Maureen Phelan', 'Paul N Levett', 'Robbin S Weyant']"
553,Paul A Cullen,"['Stuart J Cordwell', 'Dieter M Bulach', 'David A Haake', 'Ben Adler', 'Richard L Zuerner', 'Julian P Vivian', 'Travis Beddoe', 'Adrian D McAlister', 'Matthew C J Wilce', 'Leyla Zaker-Tabrizi', 'Sally Troy', 'Emma Byres', 'David E Hoke', 'Miranda Lo', 'Gerald L Murray', 'Jamie Rossjohn', 'Azad Eshghi', 'Laura Cowen', 'Caroline E Cameron', 'Deanna S Deveson Lucas', 'Amporn Srikram', 'Rasana W Sermswan']"
554,Stuart J Cordwell,"['Paul A Cullen', 'Dieter M Bulach', 'David A Haake', 'Ben Adler']"
555,Dieter M Bulach,"['Paul A Cullen', 'Stuart J Cordwell', 'David A Haake', 'Ben Adler', 'Richard L Zuerner', 'Mathieu Picardeau', 'Christiane Bouchier', 'Nora Zidane', 'Peter J Wilson', 'Sophie Creno', 'Elizabeth S Kuczek', 'Simona Bommezzadri', 'John C Davis', 'Annette McGrath', 'Matthew J Johnson', 'Caroline Boursaux-Eude', 'Torsten Seemann', 'Zoé Rouy', 'Ross L Coppel', 'Julian I Rood', 'Aurélie Lajus', 'John K Davies', 'Claudine Médigue', 'Berta Victoria', 'Ahmed Ahmed', 'Niyaz Ahmed', 'Javier Quinteiro', 'Rudy A Hartskeerl', 'Gerald L Murray', 'Viviane Morel', 'Gustavo M Cerqueira', 'Julio Croda', 'Amporn Srikram', 'Rebekah Henry', 'Albert I Ko', 'Odir A Dellagostin', 'Rasana W Sermswan', 'Amy M King', 'Thanatchaporn Bartpho', 'Azad Eshghi', 'Renee A Marcsisin', 'Deanna S Deveson Lucas', 'Miranda Lo', 'Noelene S Quinsey', 'Andy Allen']"
556,Ben Adler,"['Paul A Cullen', 'Stuart J Cordwell', 'Dieter M Bulach', 'David A Haake', 'Richard L Zuerner', 'Mathieu Picardeau', 'Christiane Bouchier', 'Nora Zidane', 'Peter J Wilson', 'Sophie Creno', 'Elizabeth S Kuczek', 'Simona Bommezzadri', 'John C Davis', 'Annette McGrath', 'Matthew J Johnson', 'Caroline Boursaux-Eude', 'Torsten Seemann', 'Zoé Rouy', 'Ross L Coppel', 'Julian I Rood', 'Aurélie Lajus', 'John K Davies', 'Claudine Médigue', 'Gerald L Murray', 'Viviane Morel', 'Gustavo M Cerqueira', 'Julio Croda', 'Amporn Srikram', 'Rebekah Henry', 'Albert I Ko', 'Odir A Dellagostin', 'Rasana W Sermswan', 'David E Hoke', 'Elsio A Wunder', 'Miranda Lo', 'Kunkun Zhang', 'Julian P Vivian', 'Travis Beddoe', 'Adrian D McAlister', 'Matthew C J Wilce', 'Leyla Zaker-Tabrizi', 'Sally Troy', 'Emma Byres', 'Jamie Rossjohn', 'Alejandro de la Peña Moctezuma', 'Ann Florence B Victoriano', 'Lee D Smythe', 'Nina Gloriani-Barzaga', 'Lolita L Cavinta', 'Takeshi Kasai', 'Khanchit Limpakarnjanarat', 'Bee Lee Ong', 'Gyanendra Gongal', 'Julie Hall', 'Caroline Anne Coulombe', 'Yasutake Yanagihara', 'Shin-Ichi Yoshida', 'Rudy A Hartskeerl', 'Thanatchaporn Bartpho', 'Deanna S Deveson Lucas', 'Ashutosh Verma', 'Brian Stevenson', 'Amy M King', 'Azad Eshghi', 'Renee A Marcsisin', 'Nadia Benaroudj', 'Frederick Saul', 'Jacques Bellalou', 'Isabelle Miras', 'Patrick Weber', 'Vincent Bondet', 'Paula Ristow', 'Hélène Louvel', 'Ahmed Haouz', 'Gabriela Pretre', 'Claudia Toma', 'Toshihiko Suzuki', 'Noelene S Quinsey', 'Andy Allen', 'Toshitsugu Nohara', 'Masaru Mizuyama', 'Nobuo Koizumi', 'Derrick E Fouts', 'Michael A Matthias', 'Haritha Adhikarla', 'Luciane Amorim-Santos', 'Douglas E Berg', 'Dieter Bulach', 'Alejandro Buschiazzo', 'Yung-Fu Chang', 'Renee L Galloway', 'Daniel H Haft', 'Rudy Hartskeerl', 'Paul N Levett', 'James Matsunaga', 'Ariel E Mechaly', 'Jonathan M Monk', 'Ana L T Nascimento', 'Karen E Nelson', 'Bernhard Palsson', 'Sharon J Peacock', 'Jessica N Ricaldi', 'Janjira Thaipandungpanit', 'X Frank Yang', 'Jun-Jie Zhang', 'Joseph M Vinetz', 'Ryo Ozuru', 'Mitsumasa Saito', 'Takaaki Kanemaru', 'Satoshi Miyahara', 'Sharon Y A M Villanueva', 'Jun Fujii', 'Henricus Lbm Eric Klaasen', 'Theeraya Simawaranon', 'Chamraj Kaewraemruaen', 'Delphine Bonhomme', 'Ignacio Santecchia', 'Frédérique Vernel-Pauillac', 'Martine Caroff', 'Pierre Germon', 'Gerald Murray', 'Ivo G Boneca', 'Catherine Werts']"
557,Edson Marchiori,"['Nestor L Müller', 'Sílvia Lourenço', 'Sérgio Setúbal', 'Gláucia Zanetti', 'Taisa Davaus Gasparetto', 'Bruno Hochhegger', 'Felipe Mussi von Ranke']"
558,Nestor L Müller,['Edson Marchiori']
559,J M Vinetz,[]
560,Edilson Sacramento,"['Antonio Alberto Lopes', 'Everaldo Costa', 'Olaivio Lima Passos', 'Yara Aragão Costa', 'Eliana Dias Matos']"
561,Antonio Alberto Lopes,"['Edilson Sacramento', 'Everaldo Costa', 'Olaivio Lima Passos', 'Yara Aragão Costa', 'Eliana Dias Matos', 'Luzia S Cruz', 'Roberto Vargas']"
562,Everaldo Costa,"['Edilson Sacramento', 'Antonio Alberto Lopes', 'Olaivio Lima Passos', 'Yara Aragão Costa', 'Eliana Dias Matos']"
563,Olaivio Lima Passos,"['Edilson Sacramento', 'Antonio Alberto Lopes', 'Everaldo Costa', 'Yara Aragão Costa', 'Eliana Dias Matos']"
564,Yara Aragão Costa,"['Edilson Sacramento', 'Antonio Alberto Lopes', 'Everaldo Costa', 'Olaivio Lima Passos', 'Eliana Dias Matos']"
565,Eliana Dias Matos,"['Edilson Sacramento', 'Antonio Alberto Lopes', 'Everaldo Costa', 'Olaivio Lima Passos', 'Yara Aragão Costa']"
566,C Mackintosh,"['J C Haigh', 'F Griffin']"
567,J C Haigh,"['C Mackintosh', 'F Griffin']"
568,F Griffin,"['C Mackintosh', 'J C Haigh']"
569,E Scanziani,"['F Origgi', 'A M Giusti', 'G Iacchia', 'A Vasino', 'G Pirovano', 'P Scarpa', 'S Tagliabue', 'E Radaelli', 'F Del Piero', 'L Aresu', 'F Sciarrone', 'N Vicari', 'S Mattiello', 'M Fabbi', 'M Pezzolato', 'E Maina', 'S Lonardi', 'E Bozzetta', 'F Grassi']"
570,F Origgi,"['E Scanziani', 'A M Giusti', 'G Iacchia', 'A Vasino', 'G Pirovano', 'P Scarpa', 'S Tagliabue']"
571,A M Giusti,"['E Scanziani', 'F Origgi', 'G Iacchia', 'A Vasino', 'G Pirovano', 'P Scarpa', 'S Tagliabue']"
572,G Iacchia,"['E Scanziani', 'F Origgi', 'A M Giusti', 'A Vasino', 'G Pirovano', 'P Scarpa', 'S Tagliabue']"
573,A Vasino,"['E Scanziani', 'F Origgi', 'A M Giusti', 'G Iacchia', 'G Pirovano', 'P Scarpa', 'S Tagliabue']"
574,G Pirovano,"['E Scanziani', 'F Origgi', 'A M Giusti', 'G Iacchia', 'A Vasino', 'P Scarpa', 'S Tagliabue']"
575,P Scarpa,"['E Scanziani', 'F Origgi', 'A M Giusti', 'G Iacchia', 'A Vasino', 'G Pirovano', 'S Tagliabue']"
576,S Tagliabue,"['E Scanziani', 'F Origgi', 'A M Giusti', 'G Iacchia', 'A Vasino', 'G Pirovano', 'P Scarpa', 'E Radaelli', 'F Del Piero', 'L Aresu', 'F Sciarrone', 'N Vicari', 'S Mattiello', 'M Fabbi']"
577,W Tangkanakul,"['P Siriarayaporn', 'T Pool', 'K Ungchusak', 'S Chunsuttiwat', 'H L Smits', 'S Jatanasen', 'D A Ashford']"
578,P Siriarayaporn,"['W Tangkanakul', 'T Pool', 'K Ungchusak', 'S Chunsuttiwat']"
579,T Pool,"['W Tangkanakul', 'P Siriarayaporn', 'K Ungchusak', 'S Chunsuttiwat']"
580,K Ungchusak,"['W Tangkanakul', 'P Siriarayaporn', 'T Pool', 'S Chunsuttiwat']"
581,S Chunsuttiwat,"['W Tangkanakul', 'P Siriarayaporn', 'T Pool', 'K Ungchusak']"
582,Sheela Sugathan,"['C K Eapen', 'Mariamma Kuriakose', 'Theresia Abdoel', 'Henk L Smits', 'Regi Paul', 'M R Joseph', 'T N Sudha']"
583,Mariamma Kuriakose,"['C K Eapen', 'Sheela Sugathan', 'Theresia Abdoel', 'Henk L Smits', 'Regi Paul', 'M R Joseph', 'T N Sudha']"
584,Theresia Abdoel,"['C K Eapen', 'Sheela Sugathan', 'Mariamma Kuriakose', 'Henk L Smits']"
585,Henk L Smits,"['C K Eapen', 'Sheela Sugathan', 'Mariamma Kuriakose', 'Theresia Abdoel']"
586,Y Yi,"['Z Cao', 'D Yang', 'Y Cao', 'Y Wu', 'S Zhao']"
587,Z Cao,"['Y Yi', 'D Yang', 'Y Cao', 'Y Wu', 'S Zhao']"
588,D Yang,"['Y Yi', 'Z Cao', 'Y Cao', 'Y Wu', 'S Zhao']"
589,Y Cao,"['Y Yi', 'Z Cao', 'D Yang', 'Y Wu', 'S Zhao']"
590,Y Wu,"['Y Yi', 'Z Cao', 'D Yang', 'Y Cao', 'S Zhao', 'Y Xie', 'M Xu', 'C Wang', 'J Xiao', 'Y Xiao', 'C Jiang', 'X You', 'F Zhao', 'T Zeng', 'S Liu', 'X Kuang']"
591,S Zhao,"['Y Yi', 'Z Cao', 'D Yang', 'Y Cao', 'Y Wu']"
592,H J Theilen,"['C Lück', 'U Hanisch', 'M Ragaller']"
593,C Lück,"['H J Theilen', 'U Hanisch', 'M Ragaller']"
594,U Hanisch,"['H J Theilen', 'C Lück', 'M Ragaller']"
595,M Ragaller,"['H J Theilen', 'C Lück', 'U Hanisch']"
596,A A Oliveira,"['R A Mota', 'G C Pereira', 'H Langoni', 'M I Souza', 'W A Navegantes', 'M E Sá']"
597,R A Mota,"['A A Oliveira', 'G C Pereira', 'H Langoni', 'M I Souza', 'W A Navegantes', 'M E Sá']"
598,G C Pereira,"['A A Oliveira', 'R A Mota', 'H Langoni', 'M I Souza', 'W A Navegantes', 'M E Sá']"
599,H Langoni,"['A A Oliveira', 'R A Mota', 'G C Pereira', 'M I Souza', 'W A Navegantes', 'M E Sá']"
600,M I Souza,"['A A Oliveira', 'R A Mota', 'G C Pereira', 'H Langoni', 'W A Navegantes', 'M E Sá']"
601,W A Navegantes,"['A A Oliveira', 'R A Mota', 'G C Pereira', 'H Langoni', 'M I Souza', 'M E Sá']"
602,M E Sá,"['A A Oliveira', 'R A Mota', 'G C Pereira', 'H Langoni', 'M I Souza', 'W A Navegantes']"
603,Alemka Markotić,"['Ilija Kuzman', 'Krsto Babić', 'Alenka Gagro', 'Stuart Nichol', 'Thomas G Ksiazek', 'Sabina Rabatić', 'Dragan Dekaris', 'Dragutin Golubić', 'Vedrana Škerk', 'Ivan Puljiz', 'Elvira Čeljuska Tošev', 'Josipa Habuš', 'Nenad Turk', 'Josip Begovac']"
604,Ilija Kuzman,"['Alemka Markotić', 'Krsto Babić', 'Alenka Gagro', 'Stuart Nichol', 'Thomas G Ksiazek', 'Sabina Rabatić', 'Dragan Dekaris', 'Vedrana Škerk', 'Ivan Puljiz', 'Elvira Čeljuska Tošev', 'Josipa Habuš', 'Nenad Turk', 'Josip Begovac']"
605,Krsto Babić,"['Alemka Markotić', 'Ilija Kuzman', 'Alenka Gagro', 'Stuart Nichol', 'Thomas G Ksiazek', 'Sabina Rabatić', 'Dragan Dekaris']"
606,Alenka Gagro,"['Alemka Markotić', 'Ilija Kuzman', 'Krsto Babić', 'Stuart Nichol', 'Thomas G Ksiazek', 'Sabina Rabatić', 'Dragan Dekaris']"
607,Stuart Nichol,"['Alemka Markotić', 'Ilija Kuzman', 'Krsto Babić', 'Alenka Gagro', 'Thomas G Ksiazek', 'Sabina Rabatić', 'Dragan Dekaris']"
608,Thomas G Ksiazek,"['Alemka Markotić', 'Ilija Kuzman', 'Krsto Babić', 'Alenka Gagro', 'Stuart Nichol', 'Sabina Rabatić', 'Dragan Dekaris']"
609,Sabina Rabatić,"['Alemka Markotić', 'Ilija Kuzman', 'Krsto Babić', 'Alenka Gagro', 'Stuart Nichol', 'Thomas G Ksiazek', 'Dragan Dekaris']"
610,Dragan Dekaris,"['Alemka Markotić', 'Ilija Kuzman', 'Krsto Babić', 'Alenka Gagro', 'Stuart Nichol', 'Thomas G Ksiazek', 'Sabina Rabatić']"
611,Juliette Morgan,"['Shari L Bornstein', 'Adam M Karpati', 'Michael Bruce', 'Carole A Bolin', 'Constance C Austin', 'Christopher W Woods', 'Jairam Lingappa', 'Carl Langkop', 'Belinda Davis', 'Donald R Graham', 'Mary Proctor', 'David A Ashford', 'Mary Bajani', 'Sandra L Bragg', 'Kathleen Shutt', 'Bradley A Perkins', 'Jordan W Tappero']"
612,Shari L Bornstein,"['Juliette Morgan', 'Adam M Karpati', 'Michael Bruce', 'Carole A Bolin', 'Constance C Austin', 'Christopher W Woods', 'Jairam Lingappa', 'Carl Langkop', 'Belinda Davis', 'Donald R Graham', 'Mary Proctor', 'David A Ashford', 'Mary Bajani', 'Sandra L Bragg', 'Kathleen Shutt', 'Bradley A Perkins', 'Jordan W Tappero']"
613,Adam M Karpati,"['Juliette Morgan', 'Shari L Bornstein', 'Michael Bruce', 'Carole A Bolin', 'Constance C Austin', 'Christopher W Woods', 'Jairam Lingappa', 'Carl Langkop', 'Belinda Davis', 'Donald R Graham', 'Mary Proctor', 'David A Ashford', 'Mary Bajani', 'Sandra L Bragg', 'Kathleen Shutt', 'Bradley A Perkins', 'Jordan W Tappero']"
614,Michael Bruce,"['Juliette Morgan', 'Shari L Bornstein', 'Adam M Karpati', 'Carole A Bolin', 'Constance C Austin', 'Christopher W Woods', 'Jairam Lingappa', 'Carl Langkop', 'Belinda Davis', 'Donald R Graham', 'Mary Proctor', 'David A Ashford', 'Mary Bajani', 'Sandra L Bragg', 'Kathleen Shutt', 'Bradley A Perkins', 'Jordan W Tappero']"
